dwc:taxonID	dwc:occurrenceStatus	dwc:locationID	dwc:locality	dwc:countryCode	dcterms:source
93f35de9-be31-480f-9504-e23f2ad39f0d	native		West Palearctic region		
2db55593-f0e0-480e-a4b8-bf4ee1bd5f85	native		Oriental region		
e63327b3-3544-4a29-9084-a20d9bc34133	native		Afrotropical region		
a09a2dc8-7a60-49c7-8ad8-90a70205c1d0	native		West Palearctic region		
a0cbd02b-ce2f-42ba-9485-e53782bfaf1b	native		West Palearctic region		
d6b29db8-d0ea-483e-8aa2-9d26ab7d28d9	native		West Palearctic region		
3ebb13e6-6419-4421-8bac-f4dea9e375b2	native		Neotropical region		
7af0eec5-5ad9-4dd2-9a89-91760bede3cf	native		East Palearctic region		
d9bae25b-d971-40a1-bfde-ec3bc95690b7	native		West Palearctic region		
ebebf22f-1574-4bc8-a5ea-b284a0bedbc2	native		Australian and Pacific regions		
39609180-6085-4cdc-958a-c0abc42ee39f	native		Oriental region		
