Item type	ID	dwc:namePublishedIn	reference_author	editors	title	publication_name	actual_pub_date	pages	publisher	pub_place	Language
Journal Article	13d607842db8c381f9a784a33ee9dfb1	Felder, C., & Felder, R. (1874). Lepidoptera: Atlas. In Felder, C., Felder, R. & Rogenhofer, A. F.: Reise der österreichischen Fregatte Novara um die Erde in den Jahren 1857, 1858, 1859 unter den Befehlen des Commodore B. von Wüllerstorf-Urbair. Zoologischer Theil. Zweiter Band. Zweite Abtheilung (fasc. 4), 10 pp, pls 75-107. (2-9, pls 75, 82).	Felder, C. and R. Felder	Felder, C., R. Felder, and A.F. Rogenhofer	Lepidoptera: Atlas	Reise der österreichischen Fregatte Novara um die Erde in den Jahren 1857, 1858, 1859 unter den Befehlen des Commodore B. von Wüllerstorf-Urbair. Zoologischer Theil. Zweiter Band. Zweite Abtheilung(4)	01/01/1874	2-9			de
Miscellaneous	4bc7e192d103fb59e1ca1f2b517a90fa	Filipjev, N. (1931). Lepidoptera. – Trudy Pamirskoj expedicii 1928 (Abhandlungen der Pamir-Expedition 1928) 8, 143-174. (161-163).	Filipjev, N.		Lepidoptera	Trudy Pamirskoj expedicii 1928 (Abhandlungen der Pamir-Expedition 1928) 8	01/01/1931	143–174			lv
Journal Article	39be9d7a70256600c253eb08c59fe148	Fischer, & Lewandowski. (2003). Zweiter Beitrag zur Schwärmer- und Spinnerfauna Zyperns (Lepidoptera). – Entomologische Zeitschrift 112(10), 295-301 (299-301).	Fischer and Lewandowski		Zweiter Beitrag zur Schwärmer- und Spinnerfauna Zyperns (Lepidoptera)	Entomologische Zeitschrift, 112(10)	01/01/2003	295–301			de
Journal Article	07efbb791026fbe9fe23db7e7c11b22b	Fischer, H. (2002). Nokona stroehlei sp. nov., eine neue Glasflüglerart aus den Cameron Highlands in Malaysia (Lepidoptera: Sesiidae, Sesiinae). Entomologische Zeitschrift, 112, 141–143.	Fischer, H.		Nokona stroehlei sp. nov., eine neue Glasflüglerart aus den Cameron Highlands in Malaysia (Lepidoptera: Sesiidae, Sesiinae)	Entomologische Zeitschrift, 112	01/01/2002	141–143			de
Journal Article	9789b79d6eb4a44b12a67a4b4210026d	Fischer, H. (2003). Nokona christineae sp. nov., eine neue Glasflüglerart aus den Cameron Highlands in Malaysia (Lepidoptera: Sesiidae, Sesiinae). Entomologische Zeitschrift, 113, 139–141.	Fischer, H.		Nokona christineae sp. nov., eine neue Glasflüglerart aus den Cameron Highlands in Malaysia (Lepidoptera: Sesiidae, Sesiinae)	Entomologische Zeitschrift, 113	01/01/2003	139–141			de
Journal Article	366e6a6b9077c30fdfb84ab6ceb36034	Fischer, H. (2005). Lamellisphecia sumatrana sp. nov., eine neue Glasflüglerart aus Sumatra (Lepidoptera: Sesiidae, Sesiinae). Entomologische Zeitschrift, 115, 91–93.	Fischer, H.		Lamellisphecia sumatrana sp. nov., eine neue Glasflüglerart aus Sumatra (Lepidoptera: Sesiidae, Sesiinae)	Entomologische Zeitschrift, 115	01/01/2005	91–93			zu
Journal Article	440abb9d928655c9cd8a2dabedc7d47c	Fischer, H. (2006). A new tribe, genus and species of clearwing moths from the Afrotropical Region (Lepidoptera, Sesiidae, Sesiinae). – Atalanta 37(1/2), 219-224.	Fischer, H.		A new tribe, genus and species of clearwing moths from the Afrotropical Region (Lepidoptera, Sesiidae, Sesiinae)	Atalanta, 37(1/2)	01/01/2006	219–224			en
Journal Article	e2b165f22c2c5ba295f438873c3e582c	Fischer, H. (2006). Corrigendum zur Publikation “A new tribe, genus and species of clearwing moths from the Afrotropical Region” in Atalanta 37. Band, Heft 1/2 (Lepidoptera, Sesiidae, Sesiinae). – Atalanta 37(3/4), 328.	Fischer, H.		Corrigendum zur Publikation “A new tribe, genus and species of clearwing moths from the Afrotropical Region” in Atalanta 37. Band, Heft 1/2 (Lepidoptera, Sesiidae, Sesiinae)	Atalanta, 37(1/2)	01/01/2006	328			en
Journal Article	4438d3e437d0360c55eda971799d762b	Fischer, H. (2006). Paranthrene dominiki sp. n., a new clearwing moth species from the Cameron Highlands in West Malaysia (Lepidoptera: Sesiidae, Sesiinae). – Nachrichten des entomologischen Vereins Apollo, N.F. 27(1/2), 53-54.	Fischer, H.		Paranthrene dominiki sp. n., a new clearwing moth species from the Cameron Highlands in West Malaysia (Lepidoptera: Sesiidae, Sesiinae)	Nachrichten des entomologischen Vereins Apollo, N. F, 27(1/2)	01/01/2006	53–54			en
Journal Article	4c748d4026e21b92ebcb0909660e33c6	Fischer, H. (2007). Eine neue Gattung mit einer neuen Art, Rubukona svetlanae gen. et spec. nov., in der Tribus Paranthrenini Niculescu, 1964 aus der afrotropischen Region (Lepidoptera, Sesiidae, Paranthrenini). – Atalanta 38(3/4), 361-364.	Fischer, H.		Eine neue Gattung mit einer neuen Art, Rubukona svetlanae gen. et spec. nov., in der Tribus Paranthrenini Niculescu, 1964 aus der afrotropischen Region (Lepidoptera, Sesiidae, Paranthrenini)	Atalanta 38(3/4)	01/01/2007	361–364			de
Journal Article	b83baca85052e61f036aec6bf6d4b8be	Fischer, H. (2011). Adixoa pyromacula sp. n., eine neue Sesiide aus Thailand (Lepidoptera: Sesiidae, Paranthrenini). Nachrichten Des Entomologischen Vereins Apollo, N.F., 31, 207–209.	Fischer, H.		Adixoa pyromacula sp. n., eine neue Sesiide aus Thailand (Lepidoptera: Sesiidae, Paranthrenini)	Nachrichten Des Entomologischen Vereins Apollo, N. F, 31	01/01/2011	207–209			de
Book Chapter	95618a37209417ecb57df724a867fb32	Fixsen, C. (1887). Lepidoptera aus Korea. In Romanoff, N. M. (ed.): Mémoires Sur Les Lépidoptères, 3, 233–356, pl. 15. (323–324).	Fixsen, C.	Romanoff, N.M.	Lepidoptera aus Korea	Mémoires Sur Les Lépidoptères, 3	01/01/1887	323–324			fr
Journal Article	90ca87a77a876f1831fe807f739a954e	Fletcher, D. S. (1982). In Fletcher, D. S. & Nye, I. W. B.: The Generic Names of Moths of the World. Volume 4. Bombycoidea, Castnioidea, Cossoidea, Mimallonoidea. Sesioidea, Sphingoidea, Zygaenoidea. – British Museum (Natural History) Publication No. 848, 192 pp. – London.	Fletcher, D.S.	Fletcher, D.S. and I.W.B. Nye		The Generic Names of Moths of the World. Volume 4. Bombycoidea, Castnioidea, Cossoidea, Mimallonoidea. Sesioidea, Sphingoidea, Zygaenoidea. – British Museum (Natural History) Publication No. 848	01/01/1982	192 –	British Museum	London	en
Miscellaneous	7326f69d667d026c6501409e9c105f5c	Freyer, C. F. (1836). Neuere Beiträge zur Schmetterlingskunde mit Abbildungen nach der Natur 2, 162 pp, pls 97-192. – Augsburg. (140-142, pl. 182).	Freyer, C.F.			Neuere Beiträge zur Schmetterlingskunde mit Abbildungen nach der Natur 2	01/01/1836	162 , 97–192		Augsburg	de
Miscellaneous	59d2772a55595428a33a8e9e970436c0	Freyer, C. F. (1842). Neuere Beiträge zur Schmetterlingskunde mit Abbildungen nach der Natur 4, 167 pp, pls 289-384. – Augsburg. (129-131, pl. 362).	Freyer, C.F.			Neuere Beiträge zur Schmetterlingskunde mit Abbildungen nach der Natur 4	01/01/1842	129-131		Augsburg	de
Miscellaneous	5e91af34e99360994cb824eb92019a34	Freyer, C. F. (1843). Neuere Beiträge zur Schmetterlingskunde mit Abbildungen nach der Natur 5, 166 pp, pls 385-480. – Augsburg. (35-36, pl. 404).	Freyer, C.F.			Neuere Beiträge zur Schmetterlingskunde mit Abbildungen nach der Natur 5	01/01/1843	35-36		Augsburg	de
Journal Article	440b4215f0e7d51e9df3a4691beb2699	Friedlander, T. P. (1986). A new squash borer from Mexico (Lepidoptera: Sesiidae). The Journal of Research on the Lepidoptera, 24(1985), 277–288.	Friedlander, T.P.		A new squash borer from Mexico (Lepidoptera: Sesiidae)	The Journal of Research on the Lepidoptera, 24(1985)	01/01/1986	277–288			en
Journal Article	01aebcda1e94706ebb6173477c36f43a	Fuchs, F. (1908). Sesia spuleri nov. spec. Internationale Entomologische Zeitschrift, 2, 33.	Fuchs, F.		Sesia spuleri nov. spec	Internationale Entomologische Zeitschrift, 2	01/01/1908	33			de
Book Chapter	250a6147d19ed9df513a3dcdaa0c8049	Gaede, M. (1929). Aegeriidae. In Seitz, A. (ed.): Die Großschmetterlinge Der Erde, 14, 515–538, pl. 77.	Gaede M.	Seitz, A.	Aegeriidae	Die Großschmetterlinge Der Erde, 14	01/01/1929	515–538			af
Book Chapter	347840e72c6214b75adee888a1041c6f	Gaede, M. (1933). Aegeriidae. In Seitz, A. (ed.): Die Großschmetterlinge Der Erde, Suppl., 2, 229–240, pl. 16.	Gaede M.	Seitz, A.	Aegeriidae	Die Großschmetterlinge Der Erde, Suppl., 2	01/01/1933	229–240			af
Journal Article	301a1e4901f7f93b7d962b6db366639a	Garrevoet, T. C., & Vanholder, B. (1996). Synanthedon perigordensis sp. n. (Lepidoptera: Sesiidae). Phegea, 24, 141–148.	Garrevoet, T.C. and B. Vanholder		Synanthedon perigordensis sp. n (Lepidoptera: Sesiidae)	Phegea, 24	01/01/1996	141–148			el-Latn
Journal Article	9abf28e5d98b1ca8049ecc0cc25cc74e	Garrevoet, T., & Garrevoet, W. (2011). Bembecia lingenhoelei, a new Clearwing moth from Tajikistan (Lepidoptera: Sesiidae). Phegea, 39, 73–79.	Garrevoet, T. and W. Garrevoet		Bembecia lingenhoelei, a new Clearwing moth from Tajikistan (Lepidoptera: Sesiidae)	Phegea, 39	01/01/2011	73–79			en
Journal Article	c867143c15d4491f60c71736a1d8a49b	Garrevoet, T., & Lingenhöle, A. (2011). Bembecia bartschi, a new Clearwing moth from Tajikistan (Lepidoptera: Sesiidae). Entomologische Zeitschrift, 121, 157–161.	Garrevoet, T. and LingenhöLe A.		Bembecia bartschi, a new Clearwing moth from Tajikistan (Lepidoptera: Sesiidae)	Entomologische Zeitschrift, 121	01/01/2011	157–161			nl
Book Chapter	224b222474de41a95d67c6c13cfa8162	Garrevoet, T., & Wangdi, K. (2022). 201. Sesia gielisi Garrevoet & Wangdi, spec. n. In: Moths of Bhutan (Gielis, Franssen, Groenen & Wangdi, eds.), 419 pp., 196 pls. (148-149, pls. 22, 186).	Garrevoet, T. and K. Wangdi	Gielis, Franssen, Groenen, and Wangdi	Sesia gielisi Garrevoet & Wangdi, spec. n	Moths of Bhutan	01/01/2022	148-149			af
Journal Article	4cabfefc5d2e62485b9f47ade2b2fd34	Geoffroy, E. L. (1785). [Contribution]. In Fourcroy, A. F.: Entomologia Parisiensis; sive Catalogus Insectorum quae in Agro Parisiensi reperiuntur ... cui addita sunt nomina trivialia & fere trecentae novae Species 2, 544 pp. (252).	Geoffroy, E.L.	Fourcroy, A.	Contribution	Entomologia Parisiensis; sive Catalogus Insectorum quae in Agro Parisiensi reperiuntur ... cui addita sunt nomina trivialia & fere trecentae novae Species 2	01/01/1785	252			la
Journal Article	7fa8cc5c6f8c9bb993e3ae68eb681f8e	Germadius, P. (1874). A New Aegerian Maple Borer. The American Naturalist, 8, 57–58.	Germadius, P.		A New Aegerian Maple Borer	The American Naturalist, 8	01/01/1874	57–58			en
Journal Article	2b55c2b67747fe437b5ab119db43a894	Giacomelli, E. (1911). Lepidópteros riojanos nuevos ó poco conocidos. Anales De La Sociedad Cientifica Argentina, 72, 19–40. (29–30).	Giacomelli, E.		Lepidópteros riojanos nuevos ó poco conocidos	Anales De La Sociedad Cientifica Argentina, 72	01/01/1911	29-30			es
Journal Article	c1a4bcf26f7659b921f8215955397800	Gmelin, J. F. (1790). Caroli a Linné Systema naturae. Per regna tria naturae secundum classes, ordines, genera, species, cum characteribus, differentiis, synonymis, locis 1(5) (ed. 13). – Leipzig. (2388-2390).	Gmelin, J.F.			Caroli a Linné Systema naturae. Per regna tria naturae secundum classes, ordines, genera, species, cum characteribus, differentiis, synonymis, locis 1(5) (ed. 13)	01/01/1790	2388–2390			la
Journal Article	91e32f2e054bd029d4a2960ad600784c	Goossens, R., Meert, R., & Garrevoet, T. (2018). A new clearwing species from Costa Rica (Lepidoptera, Sesiidae). Bulletin De La Société Royale Belge d’Entomologie, 154, 75–79.	Goossens, R., R. Meert, and T. Garrevoet		A new clearwing species from Costa Rica (Lepidoptera, Sesiidae)	Bulletin De La Société Royale Belge d’Entomologie, 154	01/01/2018	75–79			en
Journal Article	d8ec311aa4af53f2177f2021904dec8f	Gorbunov, O. (1986). A new species of clearwing moths of the genus Synanthedon (Lepidoptera, Sesiidae) from Azerbaijan. – Zoologichesky Zhurnal 65(6), 938-940. [in Russian].	Gorbunov, O.		A new species of clearwing moths of the genus Synanthedon (Lepidoptera, Sesiidae) from Azerbaijan	Zoologichesky Zhurnal, 65(6)	01/01/1986	938–940			en
Journal Article	ef69d91c034a757545ec74054cf61ab8	Gorbunov, O. (1987). A New Species of Chamaesphecia (Lepidoptera, Sesiidae) from Talysh. – Vestnik Zoologii 1987(2), 14-20. [in Russian].	Gorbunov, O.		A New Species of Chamaesphecia (Lepidoptera, Sesiidae) from Talysh	Vestnik Zoologii, 1987(2)	01/01/1987	14–20			en
Journal Article	96c1cbf9364bb16156527fefbca9aa06	Gorbunov, O. (1987). A New Species of the Genus Bembecia (Lepidoptera, Sesiidae) from Talysh. – Vestnik Zoologii 1987(3), 12-18. [in Russian].	Gorbunov, O.		A New Species of the Genus Bembecia (Lepidoptera, Sesiidae) from Talysh	Vestnik Zoologii, 1987(3)	01/01/1987	12–18			en
Book Chapter	f50e927031d65e5c1943f7032cffa3a4	Gorbunov, O. (1988). A new contribution to the knowledge of clearwing moths (Lepidoptera, Sesiidae) of Vietnam. – In Medvedev, L. N. & Striganova, B. R. (eds): Fauna i ekologiya nasekomykh Vetnama [The Fauna and Ecology of Insects of Vietnam], 192-198. [in Russian].	Gorbunov, O.	Medvedev, L.N., and B.R. Striganova	A new contribution to the knowledge of clearwing moths (Lepidoptera, Sesiidae) of Vietnam	Fauna i ekologiya nasekomykh Vetnama [The Fauna and Ecology of Insects of Vietnam]	01/01/1988	192–198			en
Journal Article	85dcedeac4371bb3b33982a1ab0f9ca9	Gorbunov, O. (1988). A new species and genus of the clearwing moths (Lepidoptera, Sesiidae) of the subfamily Tinthiinae from the Primorsky Kray (Far East). – Biologiyeckie Nauki 7, 45-47. [in Russian with English summary].	Gorbunov, O.		A new species and genus of the clearwing moths (Lepidoptera, Sesiidae) of the subfamily Tinthiinae from the Primorsky Kray (Far East)	Biologiyeckie Nauki, 7	01/01/1988	45–47			en
Journal Article	086c3a7c7cafc530cbcc94a5816e67fa	Gorbunov, O. (1989). Two new species of Lepidoptera (Sesiidae) from the Kopet-dag. – Zoologichesky Zhurnal 68(10), 141-145. [in Russian with English summary].	Gorbunov, O.		Two new species of Lepidoptera (Sesiidae) from the Kopet-dag	Zoologichesky Zhurnal, 68(10)	01/01/1989	141–145			en
Journal Article	21523a05b8f2fd3d88d0f4fa56fefd3d	Gorbunov, O. (1990). A new species of the genus Bembecia Hübner, 1819 from the Caucasus, USSSR (Lep., Sesiidae). – Atalanta 20(1/4) (1989), 119-123.	Gorbunov, O.		A new species of the genus Bembecia Hübner, 1819 from the Caucasus, USSSR (Lep., Sesiidae)	Atalanta, 20(1/4)	01/01/1990	119–123			en
Journal Article	1e13c9da2e970d3c0dc1ff9b6fcaa305	Gorbunov, O. (1991). Review of the genus Dipchasphecia Căpușe, 1973 (Lep., Sesiidae). – Atalanta 22(2/4), 145-167, 380-381.	Gorbunov, O.		Review of the genus Dipchasphecia Căpușe, 1973 (Lep., Sesiidae)	Atalanta, 22(2/4)	01/01/1991	145–167, 380–381			pt
Journal Article	0e0486d01147f05f21cb0977a8bd84a7	Gorbunov, O. (1991). Six new species of the clearwing moths from the Caucasus, USSR (Lep., Sesiidae). – Atalanta 22(2/4), 125-143, 378-379.	Gorbunov, O.		Six new species of the clearwing moths from the Caucasus, USSR (Lep., Sesiidae)	Atalanta, 22(2/4)	01/01/1991	125–143, 378–379			en
Journal Article	3050c9ea4f627f3abd4f78b425a66cba	Gorbunov, O. (1992). Revision of the types of the Sesiidae (Lepidoptera), preserved in the collection of the Zoological Museum of Kiev State University. – Entomologitscheskoje obozrenie 71(1), 121-133. [in Russian] (English translation in Entomological Review).	Gorbunov, O.		Revision of the types of the Sesiidae (Lepidoptera), preserved in the collection of the Zoological Museum of Kiev State University	Entomologitscheskoje obozrenie, 71(1)	01/01/1992	121–133			en
Journal Article	577cdfba362a9fcb1a3a8ca90261a303	Gorbunov, O. (1992). Two new species of the genus Bembecia Hübner, 1819 from Middle Asia (Lepidoptera, Sesiidae). – Atalanta 23(1/2), 249-253.	Gorbunov, O.		Two new species of the genus Bembecia Hübner, 1819 from Middle Asia (Lepidoptera, Sesiidae)	Atalanta, 23(1/2)	01/01/1992	249–253			en
Journal Article	18d4e4ae1eb4a2b30ed5a71befb63ced	Gorbunov, O. (1994). In Gorbunov, O., Buda, V., Mozuraitis, R. & Miatleuski, J.: A new species of clearwing moth from the far East of Russia and its sex attractant (Lepidoptera, Sesiidae). – Atalanta 25(1/2), 307-311, 442-443.	Gorbunov, O.	Gorbunov, O., V. Buda, R. Mozuraitis, and J. Miatleuski	A new species of clearwing moth from the far East of Russia and its sex attractant (Lepidoptera, Sesiidae)	Atalanta, 25(1/2)	01/01/1994	307–311, 442–443			en
Journal Article	87b8165c9900b168c7f6acaa76cb83d4	Gorbunov, O. (1994). New and little-known clearwing moths from Central Asia (Lepidoptera, Sesiidae). Tyo to Ga, 45, 157–168.	Gorbunov, O.		New and little-known clearwing moths from Central Asia (Lepidoptera, Sesiidae)	Tyo to Ga, 45	01/01/1994	157–168			en
Journal Article	f82fda5042d101296afc341d05c2ead5	Gorbunov, O. (1994). Two new species of the genus Dipchasphecia Căpușe, 1973 (Lepidoptera, Sesiidae) from Central Asia. Tinea, 14, 27–32.	Gorbunov, O.		Two new species of the genus Dipchasphecia Căpușe, 1973 (Lepidoptera, Sesiidae) from Central Asia	Tinea, 14	01/01/1994	27–32			en
